Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP,Player-additional
1,Nikola Jokić,C,28,DEN,12,418,34.0,.649,.249,.315,10.7,32.9,22.3,43.6,1.4,1.8,13.3,32.9,,2.1,0.8,2.9,.330,,10.6,4.3,14.8,1.8,jokicni01
2,Tyrese Haliburton,PG,23,IND,10,337,29.7,.677,.479,.270,1.7,12.1,6.9,50.6,1.5,1.5,10.3,24.8,,2.1,0.1,2.1,.305,,10.5,0.2,10.7,1.1,halibty01
3,Stephen Curry,PG,35,GSW,11,357,25.8,.686,.647,.330,2.8,12.7,7.5,21.9,1.5,0.5,14.3,33.1,,1.2,0.3,1.5,.202,,10.2,-0.1,10.1,1.1,curryst01
4,Joel Embiid,C,29,PHI,12,412,31.5,.618,.166,.510,10.9,24.0,17.8,30.0,1.4,4.2,12.7,36.1,,1.8,0.6,2.3,.274,,7.9,1.7,9.6,1.2,embiijo01
5,Shai Gilgeous-Alexander,PG,25,OKC,11,378,28.3,.606,.201,.323,2.6,16.4,10.2,30.1,3.6,1.8,8.7,32.8,,1.2,0.8,1.9,.245,,5.3,2.9,8.2,1.0,gilgesh01
6,Donovan Mitchell,SG,27,CLE,10,362,25.0,.610,.412,.245,2.7,11.6,7.3,26.4,2.7,1.4,9.8,31.8,,1.0,0.5,1.4,.189,,6.4,1.2,7.6,0.9,mitchdo01
7,Luka Dončić,PG,24,DAL,12,417,26.6,.640,.482,.372,2.1,22.2,12.2,38.2,1.5,1.0,15.6,34.3,,1.4,0.4,1.7,.199,,7.4,-0.3,7.1,1.0,doncilu01
8,LeBron James,PF,39,LAL,12,407,24.9,.658,.338,.358,2.0,23.4,13.4,33.1,2.2,2.1,17.7,30.5,,0.7,0.6,1.4,.161,,5.7,1.3,7.1,0.9,jamesle01
9,Scottie Barnes,SG,22,TOR,12,425,21.5,.561,.316,.250,8.1,19.8,13.8,26.0,2.2,4.1,11.8,24.7,,0.7,0.8,1.5,.164,,4.0,2.7,6.8,0.9,barnesc01
10,Tyrese Maxey,PG,23,PHI,12,459,23.6,.617,.383,.260,2.0,11.9,7.2,27.6,1.2,2.0,6.4,25.5,,1.8,0.4,2.2,.232,,6.7,-0.1,6.6,1.0,maxeyty01
11,Kristaps Porziņģis,C,28,BOS,11,337,22.4,.687,.406,.453,5.0,18.2,11.8,10.6,0.7,4.3,8.4,21.5,,1.3,0.6,1.9,.267,,4.3,2.2,6.5,0.7,porzikr01
12,Alperen Şengün,C,21,HOU,10,317,23.4,.615,.147,.287,8.7,19.6,14.2,31.7,1.6,1.2,13.4,25.9,,0.8,0.6,1.4,.210,,4.5,2.0,6.5,0.7,sengual01
13,Alex Caruso,SG,29,CHI,11,259,19.5,.796,.596,.333,5.5,12.1,8.6,14.2,3.1,4.1,15.5,13.0,,0.8,0.4,1.1,.209,,2.6,3.3,5.9,0.5,carusal01
14,Kevin Durant,PF,35,PHO,12,436,25.3,.647,.217,.429,1.4,20.1,11.2,25.4,1.0,2.5,13.4,32.4,,1.3,0.4,1.7,.190,,5.9,0.0,5.9,0.9,duranke01
15,Jayson Tatum,PF,25,BOS,12,438,22.5,.619,.456,.264,2.3,22.5,12.8,17.6,1.7,0.4,11.0,29.6,,1.0,0.8,1.8,.200,,4.5,1.1,5.6,0.8,tatumja01
16,Domantas Sabonis,C,27,SAC,11,387,23.5,.647,.101,.500,11.1,31.0,20.6,32.1,1.4,2.5,19.2,22.9,,1.1,0.6,1.6,.204,,3.1,2.1,5.2,0.7,sabondo01
17,Derrick White,SG,29,BOS,10,310,17.4,.644,.594,.302,2.5,10.0,6.4,20.2,1.4,2.6,10.7,17.0,,0.9,0.5,1.4,.212,,3.0,2.0,5.0,0.6,whitede01
18,Sam Hauser,SF,26,BOS,12,253,15.9,.703,.913,.050,3.1,12.7,8.1,4.9,1.4,1.8,4.7,14.7,,0.6,0.4,1.1,.200,,3.7,1.2,4.9,0.4,hausesa01
19,Immanuel Quickley,SG,24,NYK,12,306,19.4,.605,.447,.284,1.4,14.7,7.7,24.5,1.1,0.0,9.2,24.0,,0.9,0.4,1.3,.202,,3.6,1.0,4.6,0.5,quickim01
20,Naz Reid,C,24,MIN,11,237,20.1,.682,.469,.208,5.4,15.3,10.7,5.3,1.4,1.5,8.7,21.0,,0.6,0.4,1.1,.216,,3.7,0.8,4.5,0.4,reidna01
21,Lonnie Walker IV,SG,25,BRK,11,238,21.2,.629,.452,.206,0.9,13.3,7.2,15.1,1.6,2.0,9.2,27.1,,0.5,0.2,0.7,.146,,4.4,0.1,4.5,0.4,walkelo01
