nba_id,Team,Player,Experience,DPM,DPM Improvement,O-DPM,D-DPM,Box DPM,Box O-DPM,Box D-DPM,FGA/100,FG2%,FG3A/100,FG3%,FG3ARate%,RimFGA/100,RimFG%,FTA/100,FT%,FTARate%,USG%,REB/100,AST/100,AST%,BLK/100,BLK%,STL/100,STL%,TOV/100
203999,Denver Nuggets,Nikola Jokic,Vet,7.27,1.8,5.31,1.96,4.94,4.75,0.19,26.022,0.619,6.278,0.362,0.232,7.324,0.742,8.975,0.825,0.347,0.307,18.766,11.659,0.38,1.125,0.013,1.664,0.016,5.129
203954,Philadelphia 76ers,Joel Embiid,Vet,5.89,-0.49,3.71,2.18,4.07,2.74,1.33,28.487,0.565,4.694,0.344,0.185,8.5,0.748,13.291,0.848,0.479,0.336,15.084,7.228,0.257,2.52,0.027,1.368,0.013,5.58
203507,Milwaukee Bucks,Giannis Antetokounmpo,Vet,5.68,-1.66,3.47,2.21,4.13,3.04,1.09,27.041,0.603,3.127,0.296,0.168,12.191,0.778,13.353,0.629,0.568,0.337,16.053,7.306,0.275,1.397,0.016,1.309,0.013,5.027
1628369,Boston Celtics,Jayson Tatum,Vet,5.54,0.23,4.86,0.68,3,3.54,-0.54,26.013,0.536,11.284,0.364,0.449,6.156,0.704,8.435,0.851,0.337,0.284,11.76,6.267,0.204,0.814,0.009,1.458,0.014,3.517
202695,Los Angeles Clippers,Kawhi Leonard,Vet,4.9,-0.08,3.68,1.22,5.74,3.57,2.17,23.571,0.54,8.055,0.393,0.338,2.692,0.704,6.053,0.846,0.275,0.25,8.294,5.296,0.17,0.742,0.008,2.115,0.022,2.405
202331,Los Angeles Clippers,Paul George,Vet,4.58,0.21,2.66,1.93,3.8,2.49,1.31,24.256,0.507,11.115,0.379,0.483,4.086,0.658,7.18,0.874,0.285,0.275,8.346,5.864,0.18,0.449,0.005,2.263,0.023,3.833
2544,Los Angeles Lakers,LeBron James,Vet,4.54,-0.52,3.78,0.76,3.42,3.66,-0.24,23.193,0.617,8.159,0.335,0.352,8.416,0.77,7.169,0.741,0.301,0.283,11.737,9.226,0.281,1.127,0.013,1.519,0.015,4.313
201939,Golden State Warriors,Stephen Curry,Vet,4.49,-0.34,4.97,-0.48,2.7,4.3,-1.6,32.08,0.529,16.614,0.405,0.583,2.925,0.676,7.105,0.907,0.227,0.339,6.689,8.109,0.279,0.405,0.005,1.486,0.014,4.757
201142,Phoenix Suns,Kevin Durant,Vet,4.3,-1.23,4.45,-0.15,4.39,4.55,-0.16,25.593,0.567,5.805,0.39,0.238,3.269,0.761,10.891,0.902,0.384,0.305,9.715,6.786,0.218,1.533,0.017,1.074,0.011,4.861
201950,Boston Celtics,Jrue Holiday,Vet,3.97,0.54,2.76,1.21,2.41,1.87,0.54,17.744,0.544,7.77,0.358,0.411,4.029,0.67,2.646,0.808,0.157,0.183,8.546,8.462,0.232,0.757,0.008,1.718,0.017,3.2
1628378,Cleveland Cavaliers,Donovan Mitchell,Vet,3.92,0.44,3.92,0,4.22,4.16,0.06,28.128,0.543,11.904,0.365,0.427,6.228,0.685,6.858,0.861,0.247,0.307,6.31,6.831,0.229,0.579,0.006,2.081,0.02,3.736
1629029,Dallas Mavericks,Luka Doncic,Vet,3.88,0.74,4.78,-0.9,2.85,4.56,-1.71,28.373,0.562,13.352,0.35,0.485,4.642,0.743,12.507,0.733,0.386,0.337,11.1,10.59,0.374,0.615,0.007,1.639,0.016,5.365
203076,Los Angeles Lakers,Anthony Davis,Vet,3.57,1.37,1.19,2.37,3.23,0.89,2.34,20.348,0.583,1.326,0.302,0.062,8.06,0.744,8.611,0.811,0.4,0.238,16.969,4.11,0.13,3.325,0.037,1.487,0.015,2.818
202681,Dallas Mavericks,Kyrie Irving,Vet,3.41,-0.45,3.93,-0.53,2.95,3.21,-0.26,24.983,0.548,10.372,0.388,0.416,4.919,0.665,5.717,0.884,0.228,0.261,5.993,8.254,0.264,0.82,0.009,1.663,0.016,3.178
203081,Milwaukee Bucks,Damian Lillard,Vet,3.33,-0.64,5.11,-1.77,2.13,4.73,-2.6,24.495,0.535,13.908,0.377,0.54,6.458,0.626,12.705,0.901,0.465,0.295,6.273,9.152,0.311,0.426,0.005,1.236,0.012,4.052
202710,Miami Heat,Jimmy Butler,Vet,3.3,-0.93,2.48,0.82,2.98,2.38,0.6,21.388,0.528,3.808,0.321,0.194,6.47,0.679,10.706,0.84,0.497,0.247,8.056,7.113,0.225,0.589,0.007,2.435,0.025,2.383
204001,Boston Celtics,Kristaps Porzingis,Vet,3.3,1.67,2.16,1.14,2.1,1.42,0.68,20.097,0.586,8.54,0.366,0.421,4.719,0.745,7.926,0.842,0.382,0.228,11.392,3.638,0.104,2.202,0.024,1.207,0.012,2.386
1626157,Minnesota Timberwolves,Karl-Anthony Towns,Vet,3.03,-1.49,1.66,1.36,0.63,0.78,-0.15,23.681,0.57,8.513,0.39,0.352,5.525,0.712,6.806,0.854,0.32,0.26,13.353,4.272,0.141,1.191,0.013,1.102,0.011,3.585
